onset,duration,description
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
8.205078,0.5,SYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
10.707031,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
13.152344,0.5,ASYM
